Pos;Unnamed: 1;Equipo;Pts;Pj;Pg;Pe;Pp;Gf;Gc
1;;Manchester City;91;38;28;7;3;96;34
2;;Arsenal;89;38;28;5;5;91;29
3;;Liverpool;82;38;24;10;4;86;41
4;;Aston Villa;68;38;20;8;10;76;61
5;;Tottenham;66;38;20;6;12;74;61
6;;Chelsea;63;38;18;9;11;77;63
7;;Newcastle United;60;38;18;6;14;85;62
8;;Manchester United;60;38;18;6;14;57;58
9;;West Ham United;52;38;14;10;14;60;74
10;;Crystal Palace;49;38;13;10;15;57;58
11;;Brighton and Hove;48;38;12;12;14;55;62
12;;Bournemouth;48;38;13;9;16;54;67
13;;Fulham;47;38;13;8;17;55;61
14;;Wolverhampton;46;38;13;7;18;50;65
15;;Everton;40;38;13;9;16;40;51
16;;Brentford;39;38;10;9;19;56;65
17;;Nottingham Forest;32;38;9;9;20;49;67
18;;Luton Town;26;38;6;8;24;52;85
19;;Burnley;24;38;5;9;24;41;78
20;;Sheffield United;16;38;3;7;28;35;104
